Original,Furigana,English,JLPT Level,Korean
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",N2,"~ 전체, ~ 전체"
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),N2,열다; (우산을) 쥐다
〜(日本) 式,～(にほん) しき,"custom,",N2,"관습,"
～位,～い,~th place,N2,~번째 장소
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),N2,1호 ~ (인)
～園,～えん,~ garden (especially man made),N2,~ 정원 (특히 사람이 만든)
～おしまい (おわり),～おしまい (おわり),end up ~,N2,결국 ~
～日,～か,counter for days,N2,며칠 동안 카운터
～下,～か,under ~,N2,~ 아래
～化,～か,action of making something,N2,무언가를 만드는 행위
～科,～か,"family, group, course",N2,"가족, 그룹, 코스"
～歌,～か,song of ~,N2,~의 노래
～画,～が,"picture, painting",N2,"그림, 그림"
～外,～がい,out of ~,N2,~에서
～難い,～がたい,hard (difficult) to do ~,N2,~하기 어렵다(어렵다)
～がち,～がち,tend to do ~,N2,~하는 경향이 있다
～刊,～かん,"~ issued (magazine, newspaper)",N2,"~ 발행 (잡지, 신문)"
～間,～かん,"between, during",N2,"사이, 동안"
～巻,～かん,volume,N2,용량
～館,～かん,"~ hall, ~ building",N2,"~ 홀, ~ 건물"
～感,～かん,"feeling, sense, impression",N2,"느낌, 감각, 인상"
～期,～き,"~age, ~period",N2,"~나이, ~기간"
～器,～き,"device, equipment",N2,"장치, 장비"
～機,～き,machine,N2,기계
～気味,～ぎみ,slightly ~,N2,약간 ~
～教,～きょう,religion,N2,종교
～行,～ぎょう,"line, row",N2,"선, 행"
～業,～ぎょう,type of business,N2,사업 유형
～きる,～きる,"nevertheless, to carry through",N2,그럼에도 불구하고 이겨내기 위해
～切れ,～きれ,out of ~,N2,~에서
～口,～くち,"~ opening; ~ entrance, ~ exit",N2,"~ 오프닝; ~ 입구, ~ 출구"
～家,～け,"~'s family, the house of ~",N2,"~의 가족, ~의 집"
～形,～けい,shape of ~,N2,~의 모양
～系,～けい,"~ system, ~ lineage, ~ group",N2,"~ 시스템, ~ 계보, ~ 그룹"
～圏,～けん,"bloc, sphere, area",N2,"블록, 구, 지역"
～校,～こう,counter for school,N2,학교 카운터
～港,～こう,~ port,N2,~ 항구
～号,～ごう,counter for magazine; the name of ship,N2,잡지 카운터; 배의 이름
～国,～こく,nation of ~,N2,~의 나라
～毎,～ごと,"every ~, each ~",N2,"~마다, 각각 ~마다"
～山,～さん,the name of mountain,N2,산의 이름
～産,～さん,made in ~,N2,~에서 만든
～史,～し,history of ~,N2,~의 역사
～紙,～し,"newspaper, type of paper",N2,"신문, 종이의 종류"
～寺,～じ,the name of temple,N2,사원의 이름
